# id	description_da_full	description_en	confidence
3343	Almen lægehjælp 80, Afstandstillæg over 20 kilometer	General practitioner, distance supplement over 20 kilometres	high
3358	Almen lægehjælp 80, Aftalekonsultation B050	General practitioner, scheduled consultation B050	medium
3362	Almen lægehjælp 80, Alkoholsamtale §2/B080	General practitioner, alcohol counselling consultation (§2/B080)	medium
3363	Almen lægehjælp 80, Allergiudredning i forbindelse med priktest	General practitioner, allergy work-up in connection with prick test	high
3366	Almen lægehjælp 80, Anlæggelse af immobiliserende bandage	General practitioner, application of immobilising bandage	high
3374	Almen lægehjælp 80, Audiometriundersøgelse 10	General practitioner, audiometry examination 10	medium
3379	Almen lægehjælp 80, Blod-hæmoglobin (- fotometri)	General practitioner, blood haemoglobin (- photometry)	medium
3380	Almen lægehjælp 80, Blod-hæmoglobin (uden fotometri) 1	General practitioner, blood haemoglobin (without photometry) 1	high
3383	Almen lægehjælp 80, Basisk fosfatase	General practitioner, alkaline phosphatase	high
3384	Almen lægehjælp 80, Basisydelse, §2-aftale (county 65)	General practitioner, basic service, §2 agreement (county 65)	medium
3385	Almen lægehjælp 80, Basisydelse §2 (county 20)	General practitioner, basic service §2 (county 20)	medium
3387	Almen lægehjælp 80, Besøg 1 dags varighed	General practitioner, visit of 1 day's duration	high
3388	Almen lægehjælp 80, Besøg af uvis varighed	General practitioner, visit of unclear duration	low
3389	Almen lægehjælp 80, Sygebesøg op til 4 km, plus eventuelt tillæg	General practitioner, home visit up to 4 km, plus any supplement	high
3391	Almen lægehjælp 80, Sygebesøg fra 5 km til 8 km, plus eventuelt tillæg	General practitioner, home visit from 5 km to 8 km, plus any supplement	high
3393	Almen lægehjælp 80, Sygebesøg fra 9 km til 12 km, plus eventuelt tillæg	General practitioner, home visit from 9 km to 12 km, plus any supplement	high
3394	Almen lægehjælp 80, Sygebesøg fra 13 km til 16 km, plus eventuelt tillæg	General practitioner, home visit from 13 km to 16 km, plus any supplement	high
3396	Almen lægehjælp 80, Sygebesøg fra 17 km til 20 km, plus eventuelt tillæg	General practitioner, home visit from 17 km to 20 km, plus any supplement	high
3397	Almen lægehjælp 80, Sygebesøg fra 21 km, 5 km fra sygebesøgsstedet, plus eventuelt tillæg	General practitioner, home visit from 21 km, 5 km from the visit location, plus any supplement	medium
3405	Almen lægehjælp 80, Biopsi med efterfølgende mikroskopisk undersøgelse	General practitioner, biopsy with subsequent microscopic examination	high
3410	Almen lægehjælp 80, Blodprøve, central med videre	General practitioner, blood test, central etc.	medium
3411	Almen lægehjælp 80, Blodprøve, central med videre	General practitioner, blood test, central etc.	medium
3412	Almen lægehjælp 80, Blodprøvetagning (county 50)	General practitioner, blood sampling (county 50)	medium
3413	Almen lægehjælp 80, Blodprøvetagning fra åre inklusive præparation og centrifugering per forsendelse	General practitioner, blood sampling from a vein including preparation and centrifugation per shipment	high
3417	Almen lægehjælp 80, Børneundersøgelse, test	General practitioner, child examination, test	high
3421	Almen lægehjælp 80, Dagtid, egen læge, København	General practitioner, daytime, own doctor, Copenhagen	high
3422	Almen lægehjælp 80, Dagtid, anden læge, København	General practitioner, daytime, another doctor, Copenhagen	high
3423	Almen lægehjælp 80, Deltagelse i forsøg	General practitioner, participation in a study	high
3425	Almen lægehjælp 80, Demensudredning §2 (county 65)	General practitioner, dementia assessment, §2 (county 65)	medium
3426	Almen lægehjælp 80, Demensudredning B080	General practitioner, dementia assessment B080	high
3427	Almen lægehjælp 80, Demensundersøgelse, Københavns Kommune	General practitioner, dementia examination, Copenhagen Municipality	high
3428	Almen lægehjælp 80, Demensundersøgelse (county 20)	General practitioner, dementia examination (county 20)	medium
3434	Almen lægehjælp 80, Differential- og leukocyttælling	General practitioner, differential and leukocyte count	high
3435	Almen lægehjælp 80, Differentialtælling 6	General practitioner, differential count 6	high
3441	Almen lægehjælp 80, Elektrokardiografi eksklusive prækordialafledninger 6	General practitioner, electrocardiography excluding precordial leads 6	high
3442	Almen lægehjælp 80, Elektrokardiografi inklusive prækordialafledninger 9	General practitioner, electrocardiography including precordial leads 9	high
3444	Almen lægehjælp 80, Evaluering af graviditet (county 42)	General practitioner, pregnancy evaluation (county 42)	medium
3447	Almen lægehjælp 80, Fjernelse af subkutane eller dybereliggende svulster inklusive	General practitioner, removal of subcutaneous or deeper-lying tumours, including	high
3451	Almen lægehjælp 80, Folkeundersøgelse (county 60)	General practitioner, population screening (county 60)	medium
3452	Almen lægehjælp 80, Forebyggende helbredssamtale	General practitioner, preventive health consultation	high
3453	Almen lægehjælp 80, Forebyggende opfølgningsbesøg §2 (county 80)	General practitioner, preventive follow-up visit, §2 (county 80)	medium
3454	Almen lægehjælp 80, Forebyggende hjemmebesøg (county 65)	General practitioner, preventive home visit (county 65)	medium
3458	Almen lægehjælp 80, Forløbskontrol diabetes	General practitioner, diabetes course monitoring	high
3460	Almen lægehjælp 80, Fra 4 indtil 8 km	General practitioner, from 4 up to 8 km	high
3461	Almen lægehjælp 80, Fra 8 indtil 12 km	General practitioner, from 8 up to 12 km	high
3462	Almen lægehjælp 80, Fredericia-forsøg	General practitioner, Fredericia study	high
3464	Almen lægehjælp 80, Fjernelse af fremmedlegemer fra øje, øregang, næse og svælg med videre	General practitioner, removal of foreign bodies from the eye, ear canal, nose and throat, etc.	high
3466	Almen lægehjælp 80, Fremstilling af digitalt billede	General practitioner, production of a digital image	high
3468	Almen lægehjælp 80, Glukose-glukose addition (county 65)	General practitioner, glucose-glucose addition (county 65)	low
3473	Almen lægehjælp 80, Hamiltons depression	General practitioner, Hamilton depression rating	high
3474	Almen lægehjælp 80, Hepatitis B, stofmisbrugere, mænd der har sex med mænd	General practitioner, hepatitis B, drug users, men who have sex with men	high
3475	Almen lægehjælp 80, Vaccination mod hepatitis B til børn under 2 år, som er født af en mor med kronisk hepatitis B	General practitioner, hepatitis B vaccination for children under 2 years born to a mother with chronic hepatitis B	high
3478	Almen lægehjælp 80, Hepatitis B-vaccination eller A-B-vaccination til særlige risikogrupper (vaccine gives 3 gange)	General practitioner, hepatitis B vaccination or A-B vaccination for special risk groups (vaccine given 3 times)	medium
3479	Almen lægehjælp 80, Hepatitis B-vaccination, hepatitis C-infektion	General practitioner, hepatitis B vaccination, hepatitis C infection	medium
3480	Almen lægehjælp 80, Hepatitis B-vaccination, under 15 år	General practitioner, hepatitis B vaccination, under 15 years	high
3482	Almen lægehjælp 80, Hepatitis B / Downs syndrom	General practitioner, hepatitis B / Down syndrome	medium
3483	Almen lægehjælp 80, Hjemmeblodtryksmåling (county 35)	General practitioner, home blood pressure measurement (county 35)	medium
3486	Almen lægehjælp 80, Hjemmeblodtryksmåling	General practitioner, home blood pressure measurement	high
3488	Almen lægehjælp 80, Hormonundersøgelser 1	General practitioner, hormone tests 1	high
3489	Almen lægehjælp 80, Hyppige lægevagtsbesøg (county 80)	General practitioner, frequent out-of-hours doctor visits (county 80)	medium
3496	Almen lægehjælp 80, II. Mikroskopi, bakteriologisk og lignende	General practitioner, II. microscopy, bacteriological and similar	high
3497	Almen lægehjælp 80, II. Mikroskopi, bakteriologisk og lignende 3	General practitioner, II. microscopy, bacteriological and similar 3	high
3498	Almen lægehjælp 80, II. Mikroskopi, bakteriologisk og lignende	General practitioner, II. microscopy, bacteriological and similar	high
3499	Almen lægehjælp 80, II. Svampe	General practitioner, II. fungi	high
3500	Almen lægehjælp 80, II. Svampe (dyrkning) 3	General practitioner, II. Fungi (culture) 3	high
3501	Almen lægehjælp 80, III. Andet	General practitioner, III. Other	high
3502	Almen lægehjælp 80, III. Andet (dyrkning) 3	General practitioner, III. Other (culture) 3	high
3503	Almen lægehjælp 80, III. Andet (mikroskopi) 3	General practitioner, III. Other (microscopy) 3	high
3504	Almen lægehjælp 80, III. Mikroskopi af biopsi	General practitioner, III. Microscopy of biopsy	high
3505	Almen lægehjælp 80, III. Mikroskopi af biopsi	General practitioner, III. Microscopy of biopsy	high
3508	Almen lægehjælp 80, Indsamling af data, Fyns Amt	General practitioner, Data collection, Funen County	medium
3509	Almen lægehjælp 80, Indtil 4 km	General practitioner, Up to 4 km	high
3510	Almen lægehjælp 80, Influenzavaccination 65 år, hjemme	General practitioner, Influenza vaccination, age 65, at home	high
3511	Almen lægehjælp 80, Influenzavaccination over 65 år	General practitioner, Influenza vaccination, over age 65	high
3512	Almen lægehjælp 80, Indsættelse/udlevering væske/valiumadministration sygebesøg	General practitioner, Insertion/dispensing of fluid/valium administration, home visit	low
3514	Almen lægehjælp 80, Jordemoderkonsultation	General practitioner, Midwife consultation	high
3515	Almen lægehjælp 80, Kapillærresistensprøve 3	General practitioner, Capillary resistance test 3	high
3518	Almen lægehjælp 80, Konsultation med klinisk diætist	General practitioner, Consultation with clinical dietitian	high
3522	Almen lægehjælp 80, Konsultation 0-15 min	General practitioner, Consultation 0-15 min	high
3525	Almen lægehjælp 80, Kostvejledning	General practitioner, Dietary counselling	high
3526	Almen lægehjælp 80, Kroner per kilometer udover 21 km	General practitioner, Kroner per kilometre beyond 21 km	high
3529	Almen lægehjælp 80, Kørselsgodtgørelse I	General practitioner, Mileage allowance I	high
3540	Almen lægehjælp 80, Lungefunktion §2, amt 20	General practitioner, Lung function (§2, county 20)	medium
3543	Almen lægehjælp 80, Lægehjælp 2502	General practitioner, Medical aid 2502	low
3544	Almen lægehjælp 80, Lægehjælp 2201	General practitioner, Medical aid 2201	low
3545	Almen lægehjælp 80, Længere enkeltkonsultation	General practitioner, Longer single consultation	high
3546	Almen lægehjælp 80, Længerevarende sygebesøg, amt 60	General practitioner, Extended home visit (county 60)	medium
3547	Almen lægehjælp 80, MFR-vaccination 1 år	General practitioner, MMR vaccination, age 1	high
3564	Almen lægehjælp 80, MMSE-test, Frederiksberg Kommune	General practitioner, MMSE test, Frederiksberg Municipality	high
3579	Almen lægehjælp 80, Møde udover 3 moduler	General practitioner, Meeting beyond 3 modules	high
3580	Almen lægehjælp 80, Mødedeltagelse, amt 65	General practitioner, Meeting attendance (county 65)	medium
3581	Almen lægehjælp 80, Nervesanatorier med videre	General practitioner, Nerve sanatoriums etc.	high
3582	Almen lægehjælp 80, Næsetamponade med videre	General practitioner, Nasal tamponade etc.	high
3585	Almen lægehjælp 80, Opfølgende helbredsundersøgelse, amt 80	General practitioner, Follow-up health examination (county 80)	medium
3586	Almen lægehjælp 80, Opfølgende samtale i hjemmet	General practitioner, Follow-up consultation at home	high
3587	Almen lægehjælp 80, Opfølgende samtale i konsultationen	General practitioner, Follow-up consultation in the surgery	high
3588	Almen lægehjælp 80, Oplivningsforsøg	General practitioner, Resuscitation attempt	high
3589	Almen lægehjælp 80, Opsøgende hjemmebesøg	General practitioner, Outreach home visit	high
3591	Almen lægehjælp 80, Opsøgende virksomhed	General practitioner, Outreach activity	high
3593	Almen lægehjælp 80, Orm. Ormeled i fæces 1	General practitioner, Worm. Worm segments in faeces 1	high
3612	Almen lægehjælp 80, Polyfarmacipatient, amt 101	General practitioner, Polypharmacy patient (county 101)	medium
3618	Almen lægehjælp 80, Præventionsjournalskema §2/amt 70	General practitioner, Contraception record form (§2, county 70)	medium
3624	Almen lægehjælp 80, Reposition af paraphimosis	General practitioner, Reduction of paraphimosis	high
3625	Almen lægehjælp 80, Røntgenundersøgelse §2-aftale	General practitioner, X-ray examination (§2 agreement)	medium
3626	Almen lægehjælp 80, Samtalebehandling, 1 samtale	General practitioner, Talk therapy, 1 session	high
3627	Almen lægehjælp 80, Samtalebehandling, 2 samtaler	General practitioner, Talk therapy, 2 sessions	high
3628	Almen lægehjælp 80, Samtalebehandling, 3 samtaler	General practitioner, Talk therapy, 3 sessions	high
3629	Almen lægehjælp 80, Samtalebehandling, 4 samtaler	General practitioner, Talk therapy, 4 sessions	high
3630	Almen lægehjælp 80, Samtalebehandling, 40 min	General practitioner, Talk therapy, 40 min	high
3631	Almen lægehjælp 80, Samtalebehandling, 5 samtaler	General practitioner, Talk therapy, 5 sessions	high
3632	Almen lægehjælp 80, Samtalebehandling, 6 samtaler	General practitioner, Talk therapy, 6 sessions	high
3633	Almen lægehjælp 80, Samtalebehandling, 7 samtaler	General practitioner, Talk therapy, 7 sessions	high
3636	Almen lægehjælp 80, Samtaleterapiforløb	General practitioner, Talk therapy course	high
3644	Almen lægehjælp 80, Sindslidende, 1. indlæggelse	General practitioner, Mentally ill, 1st admission	high
3646	Almen lægehjælp 80, Sindslidende, tvangsindlæggelse	General practitioner, Mentally ill, involuntary admission	high
3647	Almen lægehjælp 80, Skemaudfyldelse, tillæg, amt 65	General practitioner, Form completion, supplement (county 65)	medium
3648	Almen lægehjælp 80, Skemaudfyldelse, diabetes	General practitioner, Form completion, diabetes	high
3649	Almen lægehjælp 80, Socialmedicinsk samarbejde	General practitioner, Social-medical collaboration	high
3650	Almen lægehjælp 80, Spermaundersøgelse, kontrol 5	General practitioner, Semen examination, control 5	high
3651	Almen lægehjælp 80, Store udbredte læsioner	General practitioner, Large extensive lesions	high
3652	Almen lægehjælp 80, Støtte til pårørende	General practitioner, Support for relatives	high
3657	Almen lægehjælp 80, Systematisk screening	General practitioner, systematic screening	high
3658	Almen lægehjælp 80, Sænkningsreaktion 2	General practitioner, erythrocyte sedimentation rate 2	high
3659	Almen lægehjælp 80, Særkonsultation svangerskabsforebyggelse	General practitioner, special consultation, contraception	high
3662	Almen lægehjælp 80, Tapning af væskesamling fra større led i terapeutisk øjemed – ikke i diagnostisk øjemed eller	General practitioner, aspiration of fluid collection from a larger joint for therapeutic purposes - not for diagnostic purposes, or	high
